"Diversions originally bound for CYHM, CYKF, CYOW, CYQB, CYQG, CYUL, CYXU, CYYB, CYYZ, KBUF, KCLE, KDTW, KPIT, KROC, KSYR"

"Exclude ASP|BBA|BLS|CMD|CNS|CSJ|CVR|CYO|DCM|EJA|ERY|FEX|GAJ|GPD|HRT|HYD|JBA|KAP|KUK|LBQ|LXJ|MMY|NDL|NDU|NVC|OPT|REH|RVJ|SFY|STY|SYN|TFF|TWY|VAL|VSL|WWI"

Fri Nov  1 04:20:02 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
UAL260,2,2019-10-31 20:38:32-04,KIAD,KPIT,KSEA,2019-10-31 21:09:15-04,2019-10-31 22:56:01-04,2019-10-31 22:56:09-04
UAL342,1,2019-10-31 20:41:42-04,KIAD,KCLE,KORD,2019-10-31 21:17:48-04,,2019-10-31 21:51:35-04
UAL727,1,2019-10-31 20:55:12-04,KIAD,KCLE,KSFO,2019-10-31 21:26:22-04,,2019-10-31 21:51:35-04
FFT454,2,2019-10-31 21:00:02-04,KIAD,KPIT,KDEN,2019-10-31 21:45:47-04,2019-11-01 00:05:12-04,2019-11-01 00:05:29-04
RPA3691,0,2019-10-31 21:21:35-04,KIAD,KPIT,KMCI,,,2019-10-31 21:34:10-04
SKW4291,2,2019-10-31 09:44:28-04,KIMT,KDTW,KDTW,2019-10-31 09:32:24-04,2019-10-31 11:43:57-04,2019-10-31 11:43:59-04
ENY3554,1,2019-10-31 00:39:06-04,KLEX,KCLE,KORD,2019-10-31 01:38:14-04,,2019-10-31 02:55:35-04
ENY3905,1,2019-10-31 21:05:24-04,KLGA,KCLE,KMEM,2019-10-31 21:35:06-04,,2019-10-31 21:56:28-04
RPA4700,2,2019-10-31 21:30:37-04,KLGA,KROC,KDTW,2019-10-31 21:36:30-04,2019-10-31 23:43:35-04,2019-10-31 23:43:37-04
SWA2323,1,2019-10-31 22:52:18-04,KLGA,KCLE,KDAL,2019-10-31 23:26:24-04,,2019-11-01 00:22:32-04
SWA2484,2,2019-10-31 23:11:53-04,KPHL,KPIT,KDEN,2019-10-31 23:58:08-04,2019-11-01 01:03:06-04,2019-11-01 01:03:19-04
(63 rows)

orldc-prod-fused06:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
WSW675,1,2019-10-31 01:49:58-04,CYHM,CYYZ,MKJS,2019-10-31 01:56:20-04,,2019-10-31 02:08:31-04
JZA524,2,2019-10-31 12:59:13-04,CYOW,CYUL,CYWG,2019-10-31 13:17:15-04,2019-10-31 14:54:42-04,2019-10-31 14:54:45-04
JZA747,0,2019-10-31 12:29:11-04,CYOW,CYUL,CYQB,,,2019-10-31 13:00:30-04
JZA786,1,2019-10-31 15:47:39-04,CYSJ,CYUL,CYUL,2019-10-31 17:20:30-04,,2019-10-31 17:33:15-04
JZA788,0,2019-10-31 09:41:12-04,CYSJ,CYUL,CYUL,,,2019-10-31 09:58:44-04
PSC701,2,2019-10-31 16:06:45-04,CYUL,CYHU,CYPN,2019-10-31 16:15:10-04,2019-10-31 18:07:52-04,2019-10-31 18:08:17-04
TSC123,2,2019-10-31 14:09:46-04,CYYZ,CYQB,EGKK,2019-10-31 15:23:45-04,2019-10-31 16:19:37-04,2019-10-31 16:19:48-04
JZA654,2,2019-10-31 19:33:32-04,CYYZ,CYXU,CYXU,2019-10-31 19:38:43-04,2019-10-31 21:22:11-04,2019-10-31 21:23:01-04
ACA16,2,2019-10-31 19:32:51-04,CYYZ,KIAG,VHHH,2019-10-31 19:39:42-04,2019-10-31 21:40:33-04,2019-10-31 21:40:34-04
ASH6196,1,2019-10-31 19:16:06-04,CYYZ,KSYR,KIAD,2019-10-31 19:43:14-04,,2019-10-31 20:02:22-04
SWG731,2,2019-10-31 19:23:08-04,CYYZ,CYHM,MKJS,2019-10-31 19:47:03-04,2019-10-31 22:32:15-04,2019-10-31 22:32:55-04
JZA943,2,2019-10-31 18:59:35-04,CYYZ,CYAM,KMSY,2019-10-31 20:02:29-04,2019-10-31 20:56:05-04,2019-10-31 20:56:18-04
ACA114,1,2019-10-31 18:54:33-04,CYYZ,KCLE,CYVR,2019-10-31 20:04:13-04,,2019-10-31 20:37:31-04
ACA146,1,2019-10-31 18:59:13-04,CYYZ,KCLE,CYYC,2019-10-31 20:08:01-04,,2019-10-31 21:01:27-04
ACA28,2,2019-10-31 19:37:15-04,CYYZ,CYUL,ZSPD,2019-10-31 20:12:57-04,2019-10-31 22:01:19-04,2019-10-31 22:01:34-04
SWG765,2,2019-10-31 20:03:14-04,CYYZ,CYHM,TNCM,2019-10-31 20:14:27-04,2019-10-31 22:18:50-04,2019-10-31 22:19:05-04
WJA2653,1,2019-10-31 19:38:17-04,CYYZ,CYQG,TNCM,2019-10-31 20:14:28-04,,2019-10-31 20:28:01-04
WJA2627,2,2019-10-31 20:19:24-04,CYYZ,CYHM,TLPL,2019-10-31 20:24:13-04,2019-10-31 22:45:29-04,2019-10-31 22:45:41-04
JZA874,2,2019-10-31 18:59:05-04,CYYZ,CYAM,CYQG,2019-10-31 20:24:29-04,2019-10-31 23:15:16-04,2019-10-31 23:16:01-04
DLH453,2,2019-10-31 02:52:53-04,EDDM,CYUL,KLAX,2019-10-31 02:40:48-04,2019-10-31 05:32:00-04,2019-10-31 05:32:08-04
SWA1339,2,2019-10-31 20:09:45-04,KBWI,KPIT,KPHX,2019-10-31 20:15:29-04,2019-11-01 00:29:07-04,2019-11-01 00:29:19-04
SWA1424,2,2019-10-31 20:09:25-04,KBWI,KPIT,KPIT,2019-10-31 20:15:32-04,2019-11-01 00:44:54-04,2019-11-01 00:45:19-04
NKS106,2,2019-10-31 19:48:57-04,KBWI,KPIT,KMSP,2019-10-31 20:18:17-04,2019-11-01 00:22:59-04,2019-11-01 00:23:28-04
SWA530,2,2019-10-31 20:17:30-04,KBWI,KPIT,KSTL,2019-10-31 20:22:16-04,2019-11-01 00:41:03-04,2019-11-01 00:41:15-04
SWA1351,2,2019-10-31 20:25:40-04,KBWI,KPIT,KSMF,2019-10-31 20:31:07-04,2019-11-01 00:51:16-04,2019-11-01 00:51:24-04
SWA1571,1,2019-10-31 20:18:39-04,KBWI,KCLE,KMKE,2019-10-31 20:55:25-04,,2019-10-31 21:14:20-04
SWA290,1,2019-10-31 21:19:42-04,KBWI,KCLE,KMSP,2019-10-31 22:07:55-04,,2019-10-31 22:31:18-04
DAL1975,2,2019-10-31 21:50:17-04,KBWI,KPIT,KMSP,2019-10-31 22:10:21-04,2019-11-01 00:09:55-04,2019-11-01 00:10:04-04
NKS136,2,2019-10-31 23:31:56-04,KBWI,KPIT,KLAX,2019-10-31 23:43:41-04,2019-11-01 01:01:27-04,2019-11-01 01:01:42-04
SWA458,1,2019-10-31 23:10:52-04,KBWI,KDTW,KSAN,2019-10-31 23:44:43-04,,2019-11-01 00:04:24-04
GTI3506,1,2019-10-31 22:20:46-04,KBWI,KPIT,KIAH,2019-10-31 23:48:18-04,,2019-11-01 00:00:30-04
